,country,country_long,name,capacity_mw,latitude,longitude,primary_fuel
101,ARG,Argentina,ATUCHA I,370.0,-33.967,-59.2059,Nuclear
102,ARG,Argentina,ATUCHA II,745.0,-33.9674,-59.2045,Nuclear
229,ARG,Argentina,EMBALSE,648.0,-32.2316,-64.4422,Nuclear
328,ARM,Armenia,Armenian-2,375.0,40.1805,44.1498,Nuclear
1043,BEL,Belgium,DOEL 4,2910.0,51.3254,4.2597,Nuclear
1081,BEL,Belgium,TIHANGE 1N,962.0,50.5342,5.2751,Nuclear
1082,BEL,Belgium,TIHANGE 3,2053.8,50.5342,5.2751,Nuclear
1206,BRA,Brazil,Almirante Ãlvaro Alberto - Unidade I (Antiga Angra I),640.0,-23.0087,-44.4574,Nuclear
1207,BRA,Brazil,Almirante Ãlvaro Alberto - Unidade II (Antiga Angra II),1350.0,-23.0072,-44.4588,Nuclear
3528,BGR,Bulgaria,KOZLODUY,2000.0,43.7438,23.7723,Nuclear
3727,CAN,Canada,Bruce A,3220.0,44.3391,-81.5747,Nuclear
3728,CAN,Canada,Bruce B,3390.0,44.319,-81.6027,Nuclear
3848,CAN,Canada,Darlington,3740.0,43.8697,-78.7239,Nuclear
4351,CAN,Canada,Pickering A,1084.0,43.8107,-79.0689,Nuclear
4352,CAN,Canada,Pickering B,2160.0,43.8096,-79.0639,Nuclear
4364,CAN,Canada,Point Lepreau,660.0,45.0686,-66.4543,Nuclear
5258,CHN,China,CEFR,20.0,39.74,116.03,Nuclear
5348,CHN,China,Changjiang,1220.0,19.46,108.9,Nuclear
5590,CHN,China,Daya Bay,1888.0,22.6,114.54,Nuclear
5736,CHN,China,Fangchenggang,2000.0,21.67,108.56,Nuclear
5739,CHN,China,Fangjiashan,2024.0,30.44,120.94,Nuclear
5841,CHN,China,Fuqing,4000.0,25.4426,119.444,Nuclear
6449,CHN,China,Hongyanhe,4183.0,39.8,121.48,Nuclear
7366,CHN,China,Ling Ao,3914.0,22.6,114.55,Nuclear
7609,CHN,China,Ningde,4072.0,27.0446,120.2855,Nuclear
7842,CHN,China,Qinshan 2,4101.0,30.433,120.9501,Nuclear
8490,CHN,China,Tianwan,1980.0,34.69,119.46,Nuclear
8885,CHN,China,Yangjiang,4000.0,21.71,112.26,Nuclear
9503,CZE,Czech Republic,Dukonavy,2040.0,49.0852,16.1479,Nuclear
9774,CZE,Czech Republic,TemelÃ­n,2133.0,49.1796,14.3795,Nuclear
10191,FIN,Finland,Loviisa Y1,992.0,60.3708,26.3468,Nuclear
10212,FIN,Finland,Olkiluoto 1,1760.0,61.2371,21.4433,Nuclear
10417,FRA,France,BELLEVILLE,2620.0,47.5103,2.875,Nuclear
10418,FRA,France,BLAYAIS,3640.0,45.256,-0.6932,Nuclear
10425,FRA,France,BUGEY,3580.0,45.7973,5.2706,Nuclear
10591,FRA,France,CATTENOM,5200.0,49.416,6.2169,Nuclear
10594,FRA,France,CHINON,3620.0,47.2254,0.1656,Nuclear
10595,FRA,France,CHOOZ,3000.0,50.09,4.7894,Nuclear
